index,yr,mo,date,latlon,latitude,longitude,city,pays,description,killed,injured,kidnapped,EIouAL,tableCategory
45,2015,7,2015-07-20,36.979255 38.425586,36.979255,38.425586,Suruç,Turquie,Une attaque-suicide vise l'un des plus importantes mosquée chiite de la ville de Koweït lors de la prière du vendredi. ,32,0,0,EI,Inspiré
46,2015,8,2015-08-07,18.812278 42.525899,18.812278,42.525899,Asir,Arabie Saoudite,"L'EI revendique l'attaque-suicide dans une mosquée qui a tué au moins 15 personnes, dont 12 policiers.",15,0,0,EI,Dirigé
47,2015,8,2015-08-12,30.048419 31.233917,30.048419,31.233917,Le Caire,Égypte,Le groupe armé État islamique dit avoir décapité un expatrié croate.,1,0,0,EI,Dirigé
48,2015,8,2015-08-13,33.3849668 44.4539055,33.3849668,44.4539055,Bagdad,Irak,Un attentat-suicide dans un marché de Bagdad fait 70 morts.,70,82,0,EI,Dirigé
49,2015,8,2015-08-20,30.048419 31.233917,30.048419,31.233917,Le Caire,Égypte,Un groupe affilié à l'EI revendique l'explosion dans une agence de sécurité. ,0,29,0,EI,Dirigé
50,2015,8,2015-08-21,50.2892587 2.7328427,50.2892587,2.7328427,Arras,France,Plusieurs personnes maîtrisent un homme armé dans un train reliant Amsterdam à Paris.,0,0,0,EI,Inspiré
51,2015,8,2015-08-26,31.070262 34.057983,31.070262,34.057983,Sinai,Égypte,Un groupe affilié à l'État islamique revendique l'attaque envers deux policiers. ,2,0,0,EI,Dirigé
52,2015,9,2015-09-02,15.287719 44.176594,15.287719,44.176594,Sanaa,Yémen,Un groupe affilié à l'EI revendique deux attaques à la bombe dans une mosquée qui ont tué au moins 20 personnes.,20,0,0,EI,Dirigé
53,2015,9,2015-09-18,32.888054 13.191211,32.888054,13.191211,Tripoli,Libye,Des militants de l'État islamique attaquent une prison qui se trouve sur une base militaire de Tripoli.,3,0,0,EI,Dirigé
54,2015,9,2015-09-24,15.287719 44.176594,15.287719,44.176594,Sanaa,Yémen,Au moins 25 personnes sont tuées lorsque deux bombes explosent à l'extérieur d'une mosquée durant la prière.,25,0,0,EI,Dirigé
55,2015,9,2015-09-28,23.812662 90.410741,23.812662,90.410741,Dhaka,Bangladesh,L'EI revendique la mort par balle d'un travailleur humanitaire italien. ,1,0,0,EI,Dirigé
