nom,rate,id
Québec,100,QC
Ontario,49,ON
Alberta,41,AB
Colombie-Britannique,35,CB
Manitoba,27,MB
Nouveau-Brunswick,38,NB
Terre-Neuve-et-Labrador,27,TNL
Nouvelle-Écosse,32,NE
Territoires du Nord-Ouest,0,TNO
Nunavut,0,NU
Île-du-Prince-Édouard,33,IPE
Saskatchewan,35,SK
Territoire du Yukon,0,YK
