nom,rate,id
Alberta,36.2,AB
Colombie-Britannique,42,CB
Île-du-Prince-Édouard,43.7,IPE
Manitoba,37.7,MB
Nouveau-Brunswick,44.8,NB
Nouvelle-Écosse,44.4,NE
Nunavut,25.8,NU
Ontario,40.,ON
Québec,41.9,QC
Saskatchewan,37,SK
Terre-Neuve-et-Labrador,45,TNL
Territoires du Nord-Ouest,33.1,TNO
Territoire du Yukon,39.2,YK
